conversationId,inbound,outbound
66f243047515325c91424f6e,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order blast5, namun tidak sukses terkirim karena MISSROUTE dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
66f243047515325c91424f71,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order blast2, namun tidak sukses terkirim karena NAMA TIDAK DIKENAL dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
66f2673355779c619ba2c151,Heloo gais,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODMLG2, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODMLG2, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODMLG3, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB TestCODMLG2 sebentar lagi sampai,
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 51000

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod
test
test"
66f2673355779c619ba2c154,,"Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB TestCODMLG2 sebentar lagi sampai,
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 51000

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod
test null agent
test null agent
Pelanggan yang terhormat

Kurir kami *KURIR DEV MLG* - *08123123123* telah mengantarkan paket Anda dengan No.AWB TestCODMLG5, namun tidak sukses terkirim karena *RUMAH KOSONG DIHUNI* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami *KURIR DEV MLG* - *08123123123* telah mengantarkan paket Anda dengan No.AWB TestCODMLG6, namun tidak sukses terkirim karena *ALAMAT TIDAK DIKETAHUI* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB *TestCODMLG6* sedang diantar oleh kurir *EKA YULIANSYAH* - *089987765564* dan akan segera sampai
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 57,000

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod"
66f2673355779c619ba2c171,Opo ikiii!!!!!!!!!,"Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB TestCODMLG1 sebentar lagi sampai,
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 51000

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod
Test send picture on room chat
Test png
Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODMLG1, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB TestCODMLG1 sebentar lagi sampai,
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 51,000.00

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum a felis neque. Donec vitae orci scelerisque massa luctus vestibulum. Aenean at odio vehicula, congue tellus a, vehicula nisl. Sed id sagittis mi, ut sollicitudin dui. Phasellus pretium ligula dui. Vivamus euismod lorem in sem dictum, non iaculis lectus sodales. Suspendisse a rutrum lorem, eget mollis eros. Proin eget venenatis diam. Pellentesque tincidunt viverra nisi in aliquam. Curabitur tincidunt nulla at dolor blandit, quis semper lacus interdum. Aliquam sagittis eleifend nibh vitae maximus. Suspendisse vulputate ligula volutpat, pretium dui sed, fringilla tortor. Cras convallis posuere turpis in porttitor. Pellentesque placerat tellus eget risus efficitur, sit amet posuere ligula accumsan. Donec molestie auctor nisi, sit amet malesuada eros laoreet ac.
Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODMLG1, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Mohon ditunggu, agar kami cek terlebih dahulu ke tim operasional kami."
66f2697855779c619ba2c393,,Test new room chat
66f26be155779c619ba2c82c,,"Pelanggan yang terhormat

Kurir kami telah mengantarkan paket Anda dengan order TestCODBDO1, namun tidak sukses terkirim karena RUMAH KOSONG DIHUNI dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Halo DEVELOPMENT UAT
Terima kasih atas kepercayaan kamu menggunakan jasa pengiriman SAP Express

Paketmu dengan No.AWB TestCODBDO1 sebentar lagi sampai,
Karena kamu menggunakan sistem pembayaran COD (Cash On Delivery)
Jangan lupa untuk siapkan uang sesuai nominal pesananmu, sebesar Rp. 53000

Tunggu paketmu sampai ya, Satria akan segera mengantarkan paketmu dengan cepat dan aman
Untuk melacak paketmu, kamu bisa cek No.AWB mu di https://www.sap-express.id

Kami akan selalu berusaha memberikan pelayanan terbaik untuk seluruh sahabat Satria di seluruh penjuru Indonesia

#Sahabatpengiriman
 #Jagonyacod"
66f3b42e798b04d668688b91,"test reply, to awb 005 or 006
baik
test reply, to awb 005 or 006","Pelanggan yang terhormat

Kurir kami *KURIR DEVELOPMENT D* - *081959395948* telah mengantarkan paket Anda dengan No.AWB *TESTUNDELLIVEREDKETIGA01*, namun tidak sukses terkirim karena *ALAMAT TIDAK DIKETAHUI* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami *KURIR DEVELOPMENT D* - *081959395948* telah mengantarkan paket Anda dengan No.AWB *TESTUNDELLIVEREDKETIGA01*, namun tidak sukses terkirim karena *ALAMAT TIDAK DIKETAHUI* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami *KURIR DEVELOPMENT D* - *086746627837* telah mengantarkan paket Anda dengan No.AWB *awb-broadcast005*, namun tidak sukses terkirim karena *PINDAH* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod
Pelanggan yang terhormat

Kurir kami *KURIR DEVELOPMENT D* - *081959395948* telah mengantarkan paket Anda dengan No.AWB *TESTUNDELLIVEREDKETIGA01*, namun tidak sukses terkirim karena *ALAMAT TIDAK DIKETAHUI* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
66f3b42e798b04d668688b99,"received
received","Pelanggan yang terhormat

Kurir kami *KURIR DEVELOPMENT D* - *086746627837* telah mengantarkan paket Anda dengan No.AWB *awb-broadcast006*, namun tidak sukses terkirim karena *PINDAH* dan saat ini paket dalam proses pengembalian ke cabang.

Untuk detailnya dapat diakses ke https://www.sap-express.id

 #Sahabatpengiriman
 #Jagonyacod"
670391d58dea5cf4f5e24a4b,"mau komplalin soal paket ini pak
test
Siang pak
test
test",
670392af8dea5cf4f5e24f5f,test,
670395398dea5cf4f5e2533d,"Tes
Gpp ka ngetes aja",
67039ebe8dea5cf4f5e27126,.,
6704d764b22cf7e319d11440,"tesssttt
tes paket",
6704db8eb22cf7e319d11c4d,akunt test ini ya,
6704de7db22cf7e319d120e9,tes,
6704f8d6b22cf7e319d143ac,"Maaf kak cuma mau testing saja nomer satuinbox SAPX Malang
Terima kasih
Selamat sore",
6704f93fb22cf7e319d148d3,"Tanks
Tes",
6704fa28b22cf7e319d14f61,"tes
Halo",
6704fb0bb22cf7e319d154fd,Hhshshs,
6704fca0b22cf7e319d159aa,"TUB8400181147690
Selamat siang",
6704fd30b22cf7e319d15bf4,"Ngetes doang kak.he.he..
Tes",
67050053b22cf7e319d16485,"Tes
iyah siang juga
Selamat siang ka",
67050086b22cf7e319d16655,"test
anu kak mek ngetest tok",
670500bdb22cf7e319d16901,Halo kak,
670500c4b22cf7e319d169c5,"Bububuvuvug
Cyvycgvh",
670500f8b22cf7e319d16dfd,Cek,
6705013fb22cf7e319d1722d,gatau kak,
6705015fb22cf7e319d17412,tes,
6705015fb22cf7e319d17446,haloo,
670501b1b22cf7e319d1785a,Assalamualaikum ukhti,
67050278b22cf7e319d17f25,tes,
670502a1b22cf7e319d1816c,p,
670502a3b22cf7e319d18213,WA Customer Experience SAPX,
6705031cb22cf7e319d1843c,P,
6705044ab22cf7e319d18914,test,
6705048ab22cf7e319d18b1d,Tes,
67050619b22cf7e319d19092,halo kak,
6705d3e0b22cf7e319d1a58c,tes,
6705dd5eb22cf7e319d1b0fd,Tes,
6705e05db22cf7e319d1b574,Test,
6705e089b22cf7e319d1b652,Test,
6705e736b22cf7e319d1bd83,selamat siang kak,
6705e857b22cf7e319d1c648,paket kak,
6705f2c56bfe724836165c67,Hallo,
6705f3416bfe724836165fa3,Cek,
6705f3986bfe724836166241,Holla Semangat pagi,
6705f3a16bfe724836166313,Tes,
6705f3eb6bfe724836166682,Test,
6705f4106bfe724836166965,"p
pp
p
haloo
p
p",
6705f43f6bfe724836166c36,yaa,
6705f45f6bfe724836166de2,Test,
6705f46d6bfe724836166ec4,test,
6705f49b6bfe7248361673c6,p,
6705f59b6bfe7248361678e3,Teeees,
6705f5ef6bfe724836167aae,"terimakasih sudah saya terima
tes",
6705f6406bfe724836167e34,p,
6705f6bb6bfe724836168481,test,
6705f75f6bfe724836168e1e,test,
6705f7806bfe72483616903a,a,
670600db3b9e2878f47d03de,TES,
670601cb3b9e2878f47d052b,Tes,
670601d03b9e2878f47d05cc,"haiiiiiii
hai",
6706033a3b9e2878f47d0a4a,"p
d",
670604613b9e2878f47d0f22,"kemana aja
srapan dlu
oke",
67060b913b9e2878f47d330c,"Paket
haloo kak
baik
iya",
67060b933b9e2878f47d33b2,Ping,
67060bf03b9e2878f47d353c,tes,
6706144b3b9e2878f47d4736,"🙏
hgtdfhkgfk
cm ngetes doang, saya dr HUB Pemalang",
6706164f3b9e2878f47d4a1c,Tes,
67061c4a3b9e2878f47d52f6,HALLO,
67061cfe3b9e2878f47d57b3,p,
6706212e3b9e2878f47d6e63,"Halo LTG
Trimakasih responxa kk",
6706221b3b9e2878f47d7539,Apa paket sya sdh sampai LTG,
6706241a3b9e2878f47d8acd,Halo ATB,
670625b03b9e2878f47d93f8,Selamat siang,
670626533b9e2878f47d9994,P,
6706278a3b9e2878f47d9f66,tes,
670627b53b9e2878f47da163,siang kak..,
670627e53b9e2878f47da582,"semngattt jngn mnyerahhh
P",
6706281b3b9e2878f47da9e3,hi,
670628753b9e2878f47daf63,tes,
6706296b3b9e2878f47dbb3b,tes,
670629e43b9e2878f47dbfd2,Test,
67062a193b9e2878f47dc291,Test,
67062a883b9e2878f47dc60b,Test,
67062ad73b9e2878f47dca90,SELAMAT SIANG,
67062df0528e9e5c6c4e60c8,3,
67062df0528e9e5c6c4e60cb,1,
67062df0528e9e5c6c4e60ce,2,
