Version,2.7.0
Date,2026-07-13
PM,Dany Christian
QA,Dany Christian
TechLead,Naftal Yunior

Checklist Type,Item,Status,Notes
Dev,Scope version 2.7.0 locked,,
Dev,All linked tickets deployed to target env,,
Dev,Critical bugfix dependency validated,,
Dev,Rollback path prepared,,
Dev,Release notes shared,,
QA,Smoke path identified,,
QA,Test data prepared,,
QA,Cross-browser target chosen,,
QA,Evidence links accessible,,
QA,Exit criteria agreed,,

No,Feature,Description,Enhancement,Evidence,Test Results,Notes,Tester,Date,Status,Severity,Browser,Build,ENV,Module,Priority
19,Chatbox Copy Paste from Clipboard Features,Ada kebutuhan untuk Copy Paste Images pada Chat Box (bukan Upload Attachment),Yes,https://project.ordo.co.id/wp/1757,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
20,Conversation - add event assignBy data ,"adding assignBy id, assign type",Yes,https://project.ordo.co.id/wp/2112,,,,,Closed,User story,,v2.7.0,Staging/Prod,SatuInbox,Normal
21,Create OPEN API Team inbox,"create ticket from api need fill member ids and team id, this endpoint shoul provide them response minimal is showing :&nbsp;",Yes,https://project.ordo.co.id/wp/2393,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
22,File compability - support heic dan heif type file,support heic dan heif type file,No,https://project.ordo.co.id/wp/1959,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
23,Global search suggestion,# PRODUCT REQUIREMENT DOCUMENT,Yes,https://project.ordo.co.id/wp/2140,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
24,Improve ticket room- user can reply message from selected bubble,Update Ticket Room: Users can now dynamically select any message bubble within the conversation ticket to be used as the reply reference bubble.,Yes,https://project.ordo.co.id/wp/2209,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
25,IT Support - Conversation Room Broadcast,Bug Broadcast terkirim 2 kali dalam waktu yang berdekatan atau rentang 2 menit kepada penerima yang sama,No,https://project.ordo.co.id/wp/2128,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
26,Shift Hour - Change shift hour did not effect member,Description :,No,https://project.ordo.co.id/wp/1975,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
27,Spintext - dynamic configuration spintext (TEMP 2.7.0),Quick patch v2.7.0,Yes,https://project.ordo.co.id/wp/2363,,,,,Closed,User story,,v2.7.0,Staging/Prod,SatuInbox,Normal
28,Ticket - direct from ticket to conversation result static path URL,Description :,No,https://project.ordo.co.id/wp/2226,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
29,"Whatsapp - message utility ( contact, poll, event )",##### UI link : [https://www.figma.com/design/RAAuLaQKUufWMWWEm0kMb9/-V2--Satuinbox-Web-Specs?node-id=11944-107541&amp;t=maM2yZmwk9HFkPSf-1](https://www.figma.com/design/RAAuLaQKUufWMWWEm0kMb9/-V2--Satuinbox-Web-Specs?node-id=11944-107541&t,Yes,https://project.ordo.co.id/wp/2058,,,,,Closed,Feature,,v2.7.0,Staging/Prod,SatuInbox,Normal
30,"conversation - reopen conversation with account channel that already disconnected and deleted, can still be done",used account :&nbsp;,No,https://project.ordo.co.id/wp/1132,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Low
31,WhatsApp Group Conversation - Support @All Mention ,"Currently, the WhatsApp Group Mention feature only supports mentioning individual participants.",No,https://project.ordo.co.id/wp/2218,,,,,Closed,Bug,,v2.7.0,Staging/Prod,SatuInbox,Low
32,[Mobile] - Search Autocomplete/Filtering Does Not Return Result for Partial Keyword Match,Jamdev : [https://app.betterbugs.io/session/6a1506f2247a3e53fa31531c](https://app.betterbugs.io/session/6a1506f2247a3e53fa31531c),No,https://project.ordo.co.id/wp/1940,,,,,On hold,Bug,,v2.7.0,Staging/Prod,SatuInbox,Normal
